#,Clube,Clube.1,Unnamed: 3,V,E,D,Gols,SG,Pts
1,,Botafogo,38,23,10,5,59:29,30,79
2,,Palmeiras,38,22,7,9,60:33,27,73
3,,Flamengo,38,20,10,8,61:42,19,70
4,,Fortaleza,38,19,11,8,53:39,14,68
5,,Internacional,38,18,11,9,53:36,17,65
6,,São Paulo,38,17,8,13,53:43,10,59
7,,Corinthians,38,15,11,12,54:45,9,56
8,,Bahia,38,15,8,15,49:49,0,53
9,,Cruzeiro,38,14,10,14,43:41,2,52
10,,Vasco da Gama,38,14,8,16,43:56,-13,50
11,,Vitória,38,13,8,17,45:52,-7,47
12,,Atlético-MG,38,11,14,13,47:54,-7,47
13,,Fluminense,38,12,10,16,33:39,-6,46
14,,Grêmio,38,12,9,17,44:50,-6,45
15,,Juventude,38,11,12,15,48:59,-11,45
16,,Bragantino,38,10,14,14,44:48,-4,44
17,,Athletico-PR,38,11,9,18,40:46,-6,42
18,,Criciúma,38,9,11,18,42:61,-19,38
19,,Atlético-GO,38,7,9,22,29:58,-29,30
20,,Cuiabá,38,6,12,20,29:49,-20,30
