#,wappen,Clube,Clube.1,Pertence à liga01/01/2025,Valor01/01/2025,Jogadores no plantel 01/01/2025,Valor atual,Jogadores no plantel,Diferença,%,Unnamed: 11,Unnamed: 12
1.0,,SE Palmeiras,Série A,€ 227.88 mi.,36,€ 223.00 mi.,30,€ -4.88 mi.,-2.1 %,,,
2.0,,CR Flamengo,Série A,€ 222.95 mi.,31,€ 219.20 mi.,28,€ -3.75 mi.,-1.7 %,,,
3.0,,Cruzeiro EC,Série A,€ 81.50 mi.,38,€ 166.55 mi.,32,€ 85.05 mi.,104.4 %,,,
4.0,,SC Corinthians,Série A,€ 109.05 mi.,30,€ 154.30 mi.,34,€ 45.25 mi.,41.5 %,,,
5.0,,Botafogo FR,Série A,€ 161.80 mi.,39,€ 115.25 mi.,33,€ -46.55 mi.,-28.8 %,,,
6.0,,EC Bahia,Série A,€ 84.50 mi.,38,€ 114.35 mi.,32,€ 29.85 mi.,35.3 %,,,
7.0,,Fluminense FC,Série A,€ 77.05 mi.,36,€ 112.63 mi.,34,€ 35.58 mi.,46.2 %,,,
8.0,,Grêmio FBPA,Série A,€ 82.00 mi.,35,€ 103.85 mi.,33,€ 21.85 mi.,26.6 %,,,
9.0,,CR Vasco da Gama,Série A,€ 80.30 mi.,37,€ 101.20 mi.,28,€ 20.90 mi.,26.0 %,,,
10.0,,Santos FC,Série A,€ 54.65 mi.,43,€ 98.95 mi.,35,€ 44.30 mi.,81.1 %,,,
11.0,,RB Bragantino,Série A,€ 71.20 mi.,32,€ 89.00 mi.,35,€ 17.80 mi.,25.0 %,,,
12.0,,Atlético Mineiro,Série A,€ 86.70 mi.,31,€ 88.45 mi.,36,€ 1.75 mi.,2.0 %,,,
13.0,,São Paulo FC,Série A,€ 85.05 mi.,35,€ 84.55 mi.,40,€ -500 mil,-0.6 %,,,
14.0,,SC Internacional,Série A,€ 93.35 mi.,38,€ 71.60 mi.,30,€ -21.75 mi.,-23.3 %,,,
15.0,,Athletico Paranaense,,€ 52.45 mi.,32,€ 44.48 mi.,29,€ -7.98 mi.,-15.2 %,,,
16.0,,EC Vitória,Série A,€ 25.38 mi.,37,€ 38.30 mi.,38,€ 12.93 mi.,50.9 %,,,
17.0,,Coritiba FC,,€ 20.10 mi.,32,€ 36.00 mi.,30,€ 15.90 mi.,79.1 %,,,
18.0,,Clube do Remo,,€ 3.73 mi.,22,€ 31.15 mi.,38,€ 27.43 mi.,736.2 %,,,
19.0,,Mirassol FC,Série A,€ 7.73 mi.,22,€ 29.00 mi.,32,€ 21.28 mi.,275.4 %,,,
20.0,,Chapecoense,,€ 6.25 mi.,22,€ 17.65 mi.,39,€ 11.40 mi.,182.4 %,,,
,,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,,€ 1.63 Bi.,666,€ 1.94 Bi.,666.0,€ 305.85 mi.,18.7 %
