#,wappen,Clube,Clube.1,Pertence à liga01/01/2025,Valor01/01/2025,Jogadores no plantel 01/01/2025,Valor atual,Jogadores no plantel,Diferença,%,Unnamed: 11,Unnamed: 12
1.0,,Fortaleza EC,Série A,€ 51.95 mi.,36,€ 34.40 mi.,29,€ -17.55 mi.,-33.8 %,,,
2.0,,Sport Recife,Série A,€ 13.85 mi.,25,€ 22.45 mi.,29,€ 8.60 mi.,62.1 %,,,
3.0,,Ceará SC,Série A,€ 15.00 mi.,31,€ 17.90 mi.,29,€ 2.90 mi.,19.3 %,,,
4.0,,Goiás EC,,€ 14.30 mi.,38,€ 15.25 mi.,29,€ 950 mil,6.6 %,,,
5.0,,EC Juventude,Série A,€ 12.33 mi.,21,€ 13.20 mi.,29,€ 875 mil,7.1 %,,,
6.0,,Criciúma EC,,€ 3.45 mi.,13,€ 12.23 mi.,35,€ 8.78 mi.,254.3 %,,,
7.0,,CRB,,€ 7.10 mi.,25,€ 11.93 mi.,28,€ 4.83 mi.,68.0 %,,,
8.0,,Grêmio Novorizontino,Campeonato Paulista,€ 8.78 mi.,27,€ 10.50 mi.,36,€ 1.73 mi.,19.7 %,,,
9.0,,Cuiabá EC,,€ 20.60 mi.,24,€ 10.48 mi.,38,€ -10.13 mi.,-49.2 %,,,
10.0,,Athletic Club,,€ 2.50 mi.,31,€ 9.95 mi.,36,€ 7.45 mi.,298.0 %,,,
11.0,,América Mineiro,,€ 12.70 mi.,24,€ 9.53 mi.,37,€ -3.18 mi.,-25.0 %,,,
12.0,,Atlético Goianiense,,€ 12.50 mi.,27,€ 9.43 mi.,32,€ -3.08 mi.,-24.6 %,,,
13.0,,Operário FEC,,€ 7.93 mi.,32,€ 8.80 mi.,35,€ 875 mil,11.0 %,,,
14.0,,Avaí FC,,€ 10.40 mi.,30,€ 8.75 mi.,34,€ -1.65 mi.,-15.9 %,,,
15.0,,Vila Nova FC,,€ 7.70 mi.,27,€ 7.68 mi.,28,€ -25 mil,-0.3 %,,,
16.0,,São Bernardo FC,Campeonato Paulista,€ 1.10 mi.,19,€ 7.53 mi.,33,€ 6.43 mi.,584.1 %,,,
17.0,,AA Ponte Preta,Campeonato Paulista,€ 5.00 mi.,25,€ 7.03 mi.,38,€ 2.03 mi.,40.5 %,,,
18.0,,Botafogo FC,Campeonato Paulista,€ 7.45 mi.,26,€ 5.18 mi.,34,€ -2.28 mi.,-30.5 %,,,
19.0,,Náutico,,€ 425 mil,24,€ 4.38 mi.,33,€ 3.95 mi.,929.4 %,,,
20.0,,Londrina EC,,€ 450 mil,12,€ 4.03 mi.,38,€ 3.58 mi.,794.4 %,,,
,,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,,€ 215.50 mi.,517,€ 230.58 mi.,660.0,€ 15.08 mi.,7.0 %
