#,wappen,Clube,Clube.1,Pertence à liga15/12/2025,Valor15/12/2025,Jogadores no plantel 15/12/2025,Valor atual,Jogadores no plantel,Diferença,%,Unnamed: 11,Unnamed: 12
1.0,,SE Palmeiras,Série A,€ 232.30 mi.,29,€ 223.00 mi.,30,€ -9.30 mi.,-4.0 %,,,
2.0,,CR Flamengo,Série A,€ 187.50 mi.,32,€ 219.20 mi.,28,€ 31.70 mi.,16.9 %,,,
3.0,,Cruzeiro EC,Série A,€ 139.20 mi.,32,€ 166.55 mi.,32,€ 27.35 mi.,19.6 %,,,
4.0,,SC Corinthians,Série A,€ 114.50 mi.,32,€ 154.30 mi.,34,€ 39.80 mi.,34.8 %,,,
5.0,,Botafogo FR,Série A,€ 137.70 mi.,33,€ 115.25 mi.,33,€ -22.45 mi.,-16.3 %,,,
6.0,,EC Bahia,Série A,€ 114.05 mi.,30,€ 114.35 mi.,32,€ 300 mil,0.3 %,,,
7.0,,Fluminense FC,Série A,€ 94.83 mi.,34,€ 112.63 mi.,34,€ 17.80 mi.,18.8 %,,,
8.0,,Grêmio FBPA,Série A,€ 85.35 mi.,39,€ 103.85 mi.,33,€ 18.50 mi.,21.7 %,,,
9.0,,CR Vasco da Gama,Série A,€ 120.65 mi.,36,€ 101.20 mi.,28,€ -19.45 mi.,-16.1 %,,,
10.0,,Santos FC,Série A,€ 86.25 mi.,33,€ 98.95 mi.,35,€ 12.70 mi.,14.7 %,,,
11.0,,RB Bragantino,Série A,€ 89.90 mi.,37,€ 89.00 mi.,35,€ -900 mil,-1.0 %,,,
12.0,,Atlético Mineiro,Série A,€ 87.85 mi.,32,€ 88.45 mi.,36,€ 600 mil,0.7 %,,,
13.0,,São Paulo FC,Série A,€ 83.55 mi.,34,€ 84.55 mi.,40,€ 1.00 mi.,1.2 %,,,
14.0,,SC Internacional,Série A,€ 78.75 mi.,29,€ 71.60 mi.,30,€ -7.15 mi.,-9.1 %,,,
15.0,,Athletico Paranaense,Série B,€ 43.03 mi.,33,€ 44.48 mi.,29,€ 1.45 mi.,3.4 %,,,
16.0,,EC Vitória,Série A,€ 30.83 mi.,35,€ 38.30 mi.,38,€ 7.48 mi.,24.2 %,,,
17.0,,Coritiba FC,Série B,€ 21.35 mi.,32,€ 36.00 mi.,30,€ 14.65 mi.,68.6 %,,,
18.0,,Clube do Remo,Série B,€ 15.45 mi.,36,€ 31.15 mi.,38,€ 15.70 mi.,101.6 %,,,
19.0,,Mirassol FC,Série A,€ 27.00 mi.,33,€ 29.00 mi.,32,€ 2.00 mi.,7.4 %,,,
20.0,,Chapecoense,Série B,€ 10.65 mi.,34,€ 17.65 mi.,39,€ 7.00 mi.,65.7 %,,,
,,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,,€ 1.80 Bi.,665,€ 1.94 Bi.,666.0,€ 138.78 mi.,7.7 %
