#,wappen,Clube,Clube.1,Pertence à liga15/12/2025,Valor15/12/2025,Jogadores no plantel 15/12/2025,Valor atual,Jogadores no plantel,Diferença,%,Unnamed: 11,Unnamed: 12
1.0,,Fortaleza EC,Série A,€ 43.80 mi.,37,€ 34.40 mi.,29,€ -9.40 mi.,-21.5 %,,,
2.0,,Sport Recife,Série A,€ 41.05 mi.,36,€ 22.45 mi.,29,€ -18.60 mi.,-45.3 %,,,
3.0,,Ceará SC,Série A,€ 31.58 mi.,32,€ 17.90 mi.,29,€ -13.68 mi.,-43.3 %,,,
4.0,,Goiás EC,Série B,€ 11.15 mi.,29,€ 15.25 mi.,29,€ 4.10 mi.,36.8 %,,,
5.0,,EC Juventude,Série A,€ 23.40 mi.,36,€ 13.20 mi.,29,€ -10.20 mi.,-43.6 %,,,
6.0,,Criciúma EC,Série B,€ 11.58 mi.,40,€ 12.23 mi.,35,€ 650 mil,5.6 %,,,
7.0,,CRB,Série B,€ 12.00 mi.,26,€ 11.93 mi.,28,€ -75 mil,-0.6 %,,,
8.0,,Grêmio Novorizontino,Série B,€ 12.53 mi.,30,€ 10.50 mi.,36,€ -2.03 mi.,-16.2 %,,,
9.0,,Cuiabá EC,Série B,€ 12.95 mi.,29,€ 10.48 mi.,38,€ -2.48 mi.,-19.1 %,,,
10.0,,Athletic Club,Série B,€ 8.43 mi.,35,€ 9.95 mi.,36,€ 1.53 mi.,18.1 %,,,
11.0,,América Mineiro,Série B,€ 13.55 mi.,37,€ 9.53 mi.,37,€ -4.03 mi.,-29.7 %,,,
12.0,,Atlético Goianiense,Série B,€ 14.28 mi.,33,€ 9.43 mi.,32,€ -4.85 mi.,-34.0 %,,,
13.0,,Operário FEC,Série B,€ 9.48 mi.,33,€ 8.80 mi.,35,€ -675 mil,-7.1 %,,,
14.0,,Avaí FC,Série B,€ 10.70 mi.,29,€ 8.75 mi.,34,€ -1.95 mi.,-18.2 %,,,
15.0,,Vila Nova FC,Série B,€ 7.53 mi.,32,€ 7.68 mi.,28,€ 150 mil,2.0 %,,,
16.0,,São Bernardo FC,Campeonato Paulista,€ 800 mil,28,€ 7.53 mi.,33,€ 6.73 mi.,840.6 %,,,
17.0,,AA Ponte Preta,Campeonato Paulista,€ 400 mil,27,€ 7.03 mi.,38,€ 6.63 mi.,1656.3 %,,,
18.0,,Botafogo FC,Série B,€ 6.05 mi.,33,€ 5.18 mi.,34,€ -875 mil,-14.5 %,,,
19.0,,Náutico,,€ 1.00 mi.,32,€ 4.38 mi.,33,€ 3.38 mi.,337.5 %,,,
20.0,,Londrina EC,,€ 50 mil,27,€ 4.03 mi.,38,€ 3.98 mi.,7950.0 %,,,
,,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,Valor total de todos os clubes,,€ 272.28 mi.,641,€ 230.58 mi.,660.0,€ -41.70 mi.,-15.3 %
