Club,Club.1,name,Squad,ø age,Foreigners,ø market value,Total market value
,CR Flamengo,74.0,21.9,12,€3.70m,€273.50m,
,Sociedade Esportiva Palmeiras,54.0,22.9,11,€4.82m,€260.35m,
,Botafogo de Futebol e Regatas,82.0,23.2,17,€2.62m,€214.65m,
,Santos FC,52.0,24.6,12,€2.88m,€150.00m,
,Clube Atlético Mineiro,67.0,22.3,7,€1.91m,€127.75m,
,Grêmio Foot-Ball Porto Alegrense,58.0,23.9,13,€2.15m,€124.68m,
,Clube de Regatas Vasco da Gama,70.0,23.0,14,€1.75m,€122.60m,
,Cruzeiro Esporte Clube,50.0,23.2,10,€2.43m,€121.40m,
,Sport Club Corinthians Paulista,47.0,23.2,11,€2.24m,€105.40m,
,São Paulo Futebol Clube,55.0,23.8,12,€1.80m,€99.20m,
,Esporte Clube Bahia,72.0,22.1,6,€1.38m,€99.08m,
,Fluminense Football Club,71.0,23.3,12,€1.26m,€89.30m,
,Red Bull Bragantino,52.0,22.5,9,€1.66m,€86.53m,
,Sport Club Internacional,52.0,23.4,12,€1.60m,€83.25m,
,Fortaleza Esporte Clube,57.0,26.0,15,€1.09m,€61.95m,
,Sport Club do Recife,76.0,23.4,9,€696k,€52.91m,
,Esporte Clube Vitória,69.0,24.0,6,€627k,€43.28m,
,Ceará Sporting Club,48.0,25.7,5,€744k,€35.73m,
,Esporte Clube Juventude,57.0,25.3,5,€554k,€31.55m,
,Mirassol Futebol Clube (SP),50.0,27.2,0,€568k,€28.40m,
,,,1213.0,23.7 Years,198,€1.82m,€2.21bn
